Date,LMCADS03,LMCADY,DXY,SPX,BCOM,MXWD,XAU,XAG,LMCADY_acu_5d,LMCADY_std_5d
2024-03-25,0.0012412547957572,0.0010470402253193,-0.0007670182166826,0.0028076824032685,0.0061269927167224,0.001181714256355,-0.003199008628603,0.0093272215020874,-0.0010096139212975,0.0013671929002978
2024-03-22,-0.0007325594500169,-0.0001815559689092,0.0020149683362118,0.0030642809096641,-0.0058288100545211,0.0023991275899672,-0.0029422192344703,-0.0004091818793195,-0.0011911698902067,0.0013628935384775
2024-03-21,0.0094738622906445,0.0093215654565304,-0.0040218328066647,0.0014042314173374,0.0074910844545308,0.0025853683509957,0.0073380005911038,0.0028532867512656,0.0081303955663236,0.0045106709167751
2024-03-20,-0.0025138260432377,-0.0021295229732757,-0.0059609652917989,-0.0032261572479791,-0.0019528696725976,-0.0067403681670795,0.0023196856963412,0.0338954966314657,0.0085241116015017,0.0044227059638782
2024-03-19,0.0054323476702509,0.0058930653011053,0.004159009575394,-0.0088255222389378,0.0034408337800202,-0.0060920751612985,-0.0131723983369845,-0.0260960660454062,0.01395059204077,0.0047000032298623
2024-03-18,0.0125327243357655,0.0129976856679379,-0.0023116933153534,-0.005617445944876,0.0008816084232765,-0.002379351368127,0.0012838398398211,0.004916756305489,0.0259012374833886,0.0063433556568145
2024-03-15,-0.0018703927824843,-0.0019596911233004,-0.0014481560146745,-0.006278376982262,-0.0049057720571638,-0.0050033701456939,-0.0020644707363587,0.0059750851729221,0.0241231023289975,0.0067555547167383
2024-03-14,-0.0203373015873016,-0.0206556280314433,-0.0006767862322344,0.0065251930296319,-0.001121086405315,0.0065527213986087,0.002917575026671,-0.0146901762424117,-0.0058540911589762,0.0125682556613068
2024-03-13,0.0044444444444444,0.0057165627757378,-0.0055147058823529,0.0028793432845095,-0.0008750654785154,0.0034297547401798,0.0056516772346555,0.0076278664942035,0.0019919945900372,0.0129039615188253
2024-03-12,-0.0302453231768791,-0.0308780477864843,0.0016538573791222,0.0019282482561551,-0.0081582679742524,0.0005288275506256,-0.0073905105292928,-0.0344474570306564,-0.0347791184975524,0.018327920638841
